,Bathrooms,Bedrooms,Fibre Internet,Floor Size,Garages,Listing Date,Listing Number,Price,Town,Type of Property,Erf Size,Garden,Parking,Pool,Pet Friendly,No Pets Allowed,Secure Parking,Furnished,Flatlet,ADSL Internet,Furnished (Optional),Satellite Internet,Fixed WiMax Internet
0,1.5,2.0,1.0,69 m²,1.0,12 August 2020,108978706,1290000.0000,"4 Ebenezer Road, Wynberg, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1,1.5,3.0,,240 m²,2.0,13 August 2020,108981753,3295000.0000,"Plumstead, Cape Town",House,1 277 m²,1.0,2.0,1.0,,,,,,,,,
2,3.5,3.0,,324 m²,2.0,03 June 2020,108704421,27995000.0000,"82 Hargraves Road, Llandudno, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,,
3,1.0,3.0,,,3.0,02 July 2020,108826409,3695000.0000,"13 Ranelagh Road, Rondebosch, Cape Town",House,496 m²,,5.0,,,,,,,,,,
4,1.0,0.5,,42 m²,1.0,30 May 2020,108694558,2395000.0000,"252 Roggebaai, Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,1.0,,1.0,,,,,,,
5,3.5,3.0,,310 m²,3.0,03 August 2020,108943247,33995000.0000,"Bantry Bay, Cape Town",House,969 m²,1.0,,1.0,,,,,,,,,
6,4.0,5.0,,,2.0,17 August 2020,108997454,13990000.0000,"Camps Bay, Cape Town",House,1 068 m²,1.0,4.0,1.0,,1.0,,,,,,,
7,2.0,2.0,,110 m²,1.0,21 June 2020,108783114,2495000.0000,"11 Buitensingel Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,1.0,,,,,,,
8,2.0,3.0,,140 m²,1.0,06 July 2020,108839055,2250000.0000,"10 Eastlake Island Way, Marina Da Gama, Cape Town",House,,1.0,1.0,,1.0,,,,,,,,
9,1.0,1.0,,37 m²,,15 June 2020,108765657,1500000.0000,"78, 135 Main Road, Sea Point, Cape Town",Apartment / Flat,3 473 m²,,,,,,,,,,,,
10,1.5,3.0,,162 m²,1.0,04 August 2020,108946786,2595000.0000,"Lansdowne, Cape Town",House,520 m²,,,,,,2.0,,,,,,
11,1.0,1.0,1.0,70 m²,,07 July 2020,108816590,2990000.0000,"305 Main Rd, Kenilworth Upper, Cape Town",Apartment / Flat,,,1.0,,1.0,,,,,,,,
12,1.0,2.0,,,,12 September 2020,109110697,795000.0000,"Steenberg, Cape Town",House,,1.0,4.0,,1.0,,,,,,,,
13,2.0,2.0,,77 m²,1.0,21 June 2020,108783809,2400000.0000,"45, B603 Devonshire Hill Street, Rondebosch, Cape Town",Apartment / Flat,10 990 m²,1.0,,,,,,,,,,,
