,Bathrooms,Bedrooms,Floor Size,Listing Date,Listing Number,Price,Town,Type of Property,Furnished,Parking,Pet Friendly,Pool,No Pets Allowed,Erf Size,Garages,Garden,Secure Parking,Fibre Internet,Flatlet,Satellite Internet,ADSL Internet
0,1.5,3.0,126 m²,06 November 2019,108137500,2999000.0000,"Green Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
1,2.0,2.0,110 m²,14 January 2020,108316956,4750000.0000,"70 Prestwich Street, De Waterkant, Cape Town",Apartment / Flat,1.0,1.0,1.0,1.0,,,,,,,,,
2,4.5,4.0,156 m²,19 June 2020,108781248,9500000.0000,"Green Point, Cape Town",Apartment / Flat,1.0,2.0,,1.0,1.0,,,,,,,,
3,2.0,5.0,,23 January 2020,108354978,2495000.0000,"33 Argyle Street, Woodstock, Cape Town",House,,1.0,,,,175 m²,,,,,,,
4,3.0,5.0,380 m²,06 March 2020,108541880,6900000.0000,"Wynberg Upper, Cape Town",House,,,1.0,1.0,,781 m²,2.0,1.0,4.0,,,,
5,1.0,2.0,64 m²,13 November 2019,108166300,645000.0000,"243 Main Rd, Wynberg, Cape Town",Apartment / Flat,,,,,,64 m²,,,,,,,
6,2.5,3.0,,18 November 2019,108190890,2150000.0000,"Marina Da Gama, Cape Town",Townhouse,,1.0,1.0,,,,1.0,1.0,,,,,
7,2.0,3.0,170 m²,26 February 2020,108492427,12000000.0000,"10 Steens Way, Llandudno, Cape Town",House,,,,,,600 m²,,,,,,,
8,1.0,1.0,44 m²,14 January 2020,108317033,2295000.0000,"70 Prestwich Street, De Waterkant, Cape Town",Apartment / Flat,1.0,1.0,1.0,1.0,,,,,,,,,
9,2.0,3.0,183 m²,10 May 2020,108653895,4000000.0000,"Bergvliet, Cape Town",House,,2.0,1.0,,,337 m²,2.0,1.0,,1.0,,,
10,1.0,1.0,83 m²,19 February 2020,108465884,3195000.0000,"100 Longmarket Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,1.0,,1.0,,,,,,
11,2.0,2.0,130 m²,14 January 2020,108316372,7995000.0000,"70 Prestwich Street, De Waterkant, Cape Town",Apartment / Flat,1.0,2.0,,1.0,1.0,,,,,,,,
12,1.0,1.0,,01 July 2020,108821775,985000.0000,"Wynberg Upper, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
13,2.0,3.0,125 m²,22 July 2019,107730055,5695000.0000,"6 Algarkirk Road, Fresnaye, Cape Town",Apartment / Flat,,,1.0,,,,2.0,,,,,,
14,1.0,1.0,58 m²,08 November 2019,108148548,1350000.0000,"25 Sussex Street, Woodstock, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
15,1.0,1.0,48 m²,18 July 2019,107719628,2645000.0000,"148 Loop Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,1.0,,,1.0,,,,,,
16,7.0,7.0,,15 January 2020,108321496,49000000.0000,"10 Monterey Drive, Constantia, Cape Town",House,,,,1.0,,7 555 m²,3.0,1.0,,,,,
17,2.0,2.0,101 m²,17 July 2019,107715396,5495000.0000,"37 Hely Hutchinson Avenue, Camps Bay, Cape Town",Apartment / Flat,,,,,,,2.0,,,,,,
18,2.0,3.0,90 m²,02 May 2020,108643159,2900000.0000,"423 Main Road, Observatory, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,,,
19,1.0,1.0,98 m²,11 July 2019,107692939,2995000.0000,"1 Cast Anchor Way, Foreshore, Cape Town",Apartment / Flat,,,,1.0,,,,,1.0,,,,
20,5.0,5.0,900 m²,24 October 2016,104444091,47500000.0000,"Fresnaye, Cape Town",House,,,,,,1 044 m²,4.0,,4.0,,,,
21,1.0,,42 m²,04 March 2020,108527367,1595000.0000,"70 Queen Victoria Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,1.0,,,,1.0,,,,,
22,1.0,1.0,47 m²,25 June 2019,107637907,2000000.0000,"Oranjezicht, Cape Town",Apartment / Flat,,,1.0,1.0,,,,,1.0,,,,
23,3.0,3.0,253 m²,23 March 2020,108598788,10995000.0000,"Sea Point, Cape Town",Apartment / Flat,1.0,,,,1.0,,2.0,,,,,,
24,1.0,1.0,,12 May 2020,108657950,1975000.0000,"Newlands, Cape Town",Apartment / Flat,,,,,,50 m²,1.0,,,,,,
25,1.0,1.0,33 m²,04 September 2019,107903649,850000.0000,"6 Alphen Hill Road, Wynberg Upper, Cape Town",Apartment / Flat,,,,,1.0,,1.0,,,,,,
26,2.0,2.0,150 m²,27 February 2020,108507013,3750000.0000,"Gardens, Cape Town",Apartment / Flat,1.0,2.0,,,1.0,,,,,,,,
27,1.5,3.0,152 m²,04 September 2019,107905031,2200000.0000,"14 Thomas Road, Kenilworth Upper, Cape Town",Townhouse,,,,,,,1.0,1.0,,,,,
28,2.5,2.0,151 m²,01 November 2019,108120168,9995000.0000,"Waterfront, Cape Town",Apartment / Flat,1.0,,1.0,1.0,,,2.0,,,,,,
29,2.0,3.0,115 m²,27 June 2019,107644070,3650000.0000,"Rondebosch Village, Cape Town",House,,,,,,247 m²,,1.0,,,,,
30,2.0,3.0,378 m²,03 June 2020,108705093,3650000.0000,"Observatory, Cape Town",House,,,1.0,,,378 m²,2.0,,,,,,
31,3.0,5.0,150 m²,13 November 2019,108164601,3795000.0000,"17 Cambridge Road, Ndabeni, Cape Town",House,,,,,,765 m²,5.0,,10.0,,1.0,,
32,1.0,3.0,140 m²,24 July 2019,107736936,5490000.0000,"Green Point, Cape Town",House,,,,,,330 m²,1.0,,,,,,
33,2.0,2.0,95 m²,06 November 2019,108140177,2995000.0000,"37 Adderley Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
34,1.0,0.5,38 m²,06 March 2020,108538197,1950000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,,,,,,,,
35,4.0,5.0,,06 February 2020,108409168,15950000.0000,"19 Avenue La Croix, Fresnaye, Cape Town",House,,,,1.0,,445 m²,2.0,1.0,,,,,
36,5.0,5.0,428 m²,23 October 2018,106877240,52000000.0000,"18 Arcadia Road, Fresnaye, Cape Town",House,,4.0,1.0,1.0,,614 m²,4.0,1.0,,,1.0,,
37,3.0,3.0,193 m²,29 January 2020,108377534,7300000.0000,"30 Palmboom Road, Newlands, Cape Town",House,,2.0,1.0,,,582 m²,,1.0,,,,,
38,1.0,1.0,78 m²,18 July 2019,107717442,4200000.0000,"Foreshore, Cape Town",Apartment / Flat,,1.0,,1.0,1.0,78 m²,,,,,,,
39,4.0,4.0,,16 March 2020,108574074,16250000.0000,"7 Wytham Avenue, Kenilworth Upper, Cape Town",House,,,,1.0,,860 m²,3.0,1.0,3.0,,,,
40,1.0,2.0,,27 July 2020,108916226,395000.0000,"Pelican Park, Cape Town",House,,,,,,83 m²,,,,,,,
41,,,,31 October 2019,108118125,3095000.0000,"Cosmopolitan 103 Regent Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,,
42,1.0,1.0,49 m²,03 September 2019,107901656,1850000.0000,"812, 19 Parliament Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,1.0,,,,
43,2.0,2.0,60 m²,02 June 2020,108698920,800000.0000,"Bridgetown, Cape Town",Apartment / Flat,,,,,,8 227 m²,,,,,,,
44,1.0,2.0,69 m²,11 May 2020,108655735,1999000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
45,1.0,1.0,83 m²,05 September 2019,107907752,2500000.0000,"100 Longmarket, Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,,,2.0,,,,,,
46,1.0,2.0,81 m²,12 August 2019,107817339,3995000.0000,"93 Beach Road, Mouille Point, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,,
47,1.0,1.0,87 m²,28 February 2020,108514024,5700000.0000,"Bantry Hills 21 Tramway Road, Sea Point, Cape Town",Apartment / Flat,,1.0,,1.0,,,,1.0,,,,,
48,1.0,2.0,83 m²,04 September 2019,107906375,4900000.0000,"23 Panorama Residences, 23 Woodford Avenue, Camps Bay, Cape Town",Apartment / Flat,,,,1.0,,,1.0,1.0,,,,,
49,3.0,4.0,,01 July 2020,108821005,13950000.0000,"Camps Bay, Cape Town",House,,,,,,,2.0,,,,,,
50,3.0,4.0,262 m²,19 June 2019,107616070,19995000.0000,"10 First Crescent, Camps Bay, Cape Town",Apartment / Flat,,,,1.0,,,3.0,,,,,,
51,5.5,5.0,,13 December 2019,108266154,7950000.0000,"Kenilworth Upper, Cape Town",House,,,1.0,1.0,,826 m²,3.0,,,,1.0,,
52,2.0,3.0,117 m²,16 March 2020,108573944,2050000.0000,"8 Royal Road, Muizenberg, Cape Town",Apartment / Flat,,,,1.0,,117 m²,,1.0,1.0,,,,
53,2.0,4.0,,13 March 2020,108565826,6995000.0000,"2 Stuartfield Avenue, Kenilworth Upper, Cape Town",House,,,,,,1 291 m²,2.0,1.0,2.0,,,,
54,1.0,2.0,80 m²,21 January 2020,108345382,3100000.0000,"3 Gladstone Street, Oranjezicht, Cape Town",Apartment / Flat,,1.0,,,,,1.0,,,,,,
55,2.0,3.0,438 m²,04 December 2019,108241786,4295000.0000,"2 Cone Way, Pinelands, Cape Town",House,,,1.0,,,741 m²,2.0,1.0,,,,,
56,1.0,2.0,109 m²,12 March 2020,108562610,2550000.0000,"57 First Avenue, Harfield Village, Cape Town",House,,2.0,1.0,,,239 m²,,,,,,,
57,3.0,3.0,282 m²,22 June 2020,108787301,22995000.0000,"Camps Bay, Cape Town",Apartment / Flat,,,,1.0,,,1.0,,1.0,,,,
58,1.0,1.0,55 m²,18 January 2020,108335576,2499000.0000,"20 Cardiff Road, De Waterkant, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
59,2.0,2.0,71 m²,12 December 2019,108265072,1800000.0000,"39 Belvedere Road, Claremont, Cape Town",Apartment / Flat,,,,,,,2.0,,,,,,
60,2.0,2.0,132 m²,10 June 2020,108728373,2750000.0000,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,,,,,
61,2.0,2.0,184 m²,04 July 2019,107668846,5995000.0000,"1 West Quay Road, Foreshore, Cape Town",Apartment / Flat,,2.0,,1.0,,184 m²,,,,,,,
62,2.0,2.0,78 m²,27 November 2018,106991745,5995000.0000,"Mouille Point, Cape Town",Apartment / Flat,,,,,1.0,,1.0,,,,,,
63,2.0,2.0,111 m²,20 November 2019,108200213,2450000.0000,"39 Grove, Claremont Upper, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
64,1.0,1.0,52 m²,28 August 2019,107882597,2995000.0000,"252 Roggebaai, Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,1.0,,,1.0,,,,,,
65,1.0,2.0,,07 January 2020,108293921,1895000.0000,"13 Station Road, Observatory, Cape Town",House,,,1.0,,,129 m²,,,,,,,
66,1.0,2.0,,27 July 2020,108918500,3495000.0000,"Green Point, Cape Town",Apartment / Flat,,,,,,95 m²,,,1.0,,,,
67,2.5,4.0,350 m²,18 July 2019,107719447,7450000.0000,"38 Avenue De Mist, Rondebosch, Cape Town",House,,4.0,1.0,1.0,,1 022 m²,2.0,1.0,,,,,
68,1.0,1.0,57 m²,02 July 2019,107659188,1750000.0000,"105 Kloof Street, Gardens, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,1.0,,,
69,2.0,2.0,168 m²,02 August 2019,107779682,15900000.0000,"5-7 Victoria Road, Clifton, Cape Town",Apartment / Flat,,,,,,,,,1.0,,,,
70,2.0,3.0,114 m²,10 June 2020,108726054,6250000.0000,"6 Thicket St, Newlands, Cape Town, 7700, Newlands, Cape Town",Apartment / Flat,,,,,,151 m²,,,,,,,
71,1.0,2.0,,13 March 2020,108568584,2195000.0000,"113 Stella Road, Plumstead, Cape Town",House,,,,,,495 m²,1.0,,2.0,,,,
72,1.0,1.0,55 m²,18 January 2020,108335610,2499000.0000,"20 Cardiff Road, De Waterkant, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
73,1.0,1.0,121 m²,02 October 2019,108001720,2995000.0000,"12 Adderley Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,,,,1.0,,,,
74,2.0,2.0,125 m²,22 November 2019,108207280,5295000.0000,"2 Milton Road, Sea Point, Cape Town",Apartment / Flat,,,,,,125 m²,,,1.0,,,,
75,1.0,1.0,49 m²,07 June 2020,108715445,995000.0000,"Kenilworth, Cape Town",Apartment / Flat,,1.0,,1.0,,,,1.0,,,,,
76,1.0,1.0,36 m²,15 May 2019,107495307,550000.0000,"537 Grand Central, Main Road, Wynberg, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
77,2.0,2.0,90 m²,21 May 2019,107517784,6400000.0000,"2 Dockrail Road, Foreshore, Cape Town",Apartment / Flat,,,,,,90 m²,,,2.0,,,,
78,5.0,6.0,,16 January 2020,108327158,19950000.0000,"Fresnaye, Cape Town",House,,2.0,1.0,1.0,,,3.0,,,,1.0,,
79,2.0,3.0,,08 June 2020,108719328,2495000.0000,"Plumstead, Cape Town",House,,,1.0,1.0,,495 m²,1.0,,,,,,
80,2.0,2.0,60 m²,23 April 2019,107429208,1595000.0000,"37 Roeland Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,,60 m²,,,1.0,,,,
81,2.0,2.0,102 m²,24 May 2019,107532511,3200000.0000,"402 Ivan Hampshire Retirement Home, Main Road, Newlands, Cape Town",Apartment / Flat,,2.0,,,,,,1.0,,,,,
82,2.0,2.0,111 m²,20 November 2019,108200213,2450000.0000,"39 Grove, Claremont Upper, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
83,4.5,4.0,461 m²,06 July 2020,108837670,13995000.0000,"13 Brommaert Avenue, Constantia, Cape Town",House,,,,1.0,,641 m²,2.0,1.0,,,,,
84,1.0,1.0,55 m²,25 June 2019,107635358,3150000.0000,"2 Dockrail Road, Foreshore, Cape Town",Apartment / Flat,,,,,,55 m²,,,1.0,,,,
85,1.0,2.0,,27 July 2020,108918500,3495000.0000,"Green Point, Cape Town",Apartment / Flat,,,,,,95 m²,,,1.0,,,,
86,3.0,4.0,294 m²,15 January 2020,108320277,8350000.0000,"72 Zwaanswyk Road, Zwaanswyk, Cape Town",Apartment / Flat,,,1.0,1.0,,,1.0,1.0,2.0,,,,
87,3.5,3.0,,05 April 2020,108614362,5900000.0000,"4a Dale Avenue, Constantia, Cape Town",House,,2.0,,1.0,,1 088 m²,2.0,1.0,,,,,
88,3.0,3.0,178 m²,22 October 2019,108081647,8500000.0000,"16 Trafalgar Square, Sea Point, Cape Town",House,,,1.0,1.0,,269 m²,1.0,,,,,,
89,1.0,2.0,86 m²,21 May 2019,107518935,2650000.0000,"263 Main Road, Three Anchor Bay, Cape Town",Apartment / Flat,,,,,,,,,,,,,
90,1.0,2.0,74 m²,19 September 2019,107959776,1350000.0000,"23 Wellington, Wynberg Upper, Cape Town",Apartment / Flat,,,,,,,1.0,,,,,,
91,2.0,2.0,125 m²,11 July 2019,107693443,3950000.0000,"Marseilles Mansions, 7 Marseilles Avenue, Fresnaye, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,,
92,2.0,3.0,50 m²,17 November 2019,108187280,1275000.0000,"169 Pagoda Street, Muizenberg, Cape Town",House,,,,,,200 m²,,,1.0,,,,
